,DH,DZDM,Cu,Zn,Ni,Pb,Ag,Co,Mo,W,As,Sb,Bi,Hg,Au,Sn,Sum,Geo_object
16147,0976c2,7,9.8,39.3,11.3,18.2,0.072,5.5,2.39,6.7,8.2,0.29,0.88,0.0075,0.0009,8,118.1,QC
16148,0976c3,7,8.1,30.6,8.2,12.8,0.048,4.8,4,4.67,8,0.2,0.71,0.0062,0.0009,5.1,93.43,QC
16149,0957a1,9,16.5,77.3,21,24.1,0.118,6.7,0.72,2.32,14.7,0.44,0.18,0.0083,0.001,5.3,177.7,QC
16150,0957a2,9,16.6,88.4,27.6,40.5,0.076,9.4,3.48,2.8,30.7,0.7,0.25,0.0137,0.001,5.2,239.4,QC
16151,0957b1,9,12,74.4,21.6,20.7,0.119,7.2,1.8,2.48,19.4,0.62,0.17,0.013,0.001,5.4,178.9,QC
16152,0957b2,9,13,79.8,21,31.2,0.104,7.3,1,2.8,14,0.5,0.17,0.0104,0.0009,4.9,186.2,QC
16153,0957c1,9,13,83.1,17.9,24.5,0.149,6.1,1.62,2.2,16.8,0.64,0.22,0.0056,0.0016,4.4,176.2,QC
16154,0958a1,9,13,81.5,21.3,22.9,0.132,12.7,1.15,2.45,22.9,0.48,0.18,0.0087,0.001,3.7,191.1,QC
16155,0958b1,9,12.8,92.2,21.9,30.6,0.125,12.3,1.62,2.58,17.4,0.55,0.17,0.0113,0.0009,3.1,206.6,QC
16156,0958d1,9,10.5,70,15.2,18.4,0.122,6.5,2.42,2,25.1,1.24,0.19,0.0142,0.0007,2.9,168.8,QC
16157,0965a1,9,21.5,79,22,33.2,0.069,8.5,2.4,2.64,19.5,1.06,1.22,0.0106,0.0012,5.6,207.3,QC
16158,0966c1,9,12.1,65.3,17.8,23.1,0.079,8.7,3,3.32,15.7,1.02,0.75,0.0082,0.0009,5.5,164.6,QC
16159,0966d1,9,7.3,53.2,15.1,18.2,0.118,6.4,0.97,4.22,15.9,1.63,0.39,0.0116,0.0009,4.6,139.6,QC
16160,0975a1,9,9.1,28.5,14.3,12.7,0.055,4.9,18,5.3,15,0.39,0.77,0.0047,0.001,4.4,118.1,QC
16161,0975c1,9,10.8,36.9,19.4,16,0.047,5.8,1.77,4.75,14.3,0.28,0.87,0.0059,0.0011,4.9,121.7,QC
16162,1453c1,9,17,159.6,25.8,31.2,0.206,8.6,0.8,2.31,14,0.7,0.34,0.0099,0.0008,3.5,274,QC
16163,1453d1,9,24,175.1,27,47.1,0.201,11,1.19,2.74,18.6,0.7,0.26,0.0049,0.001,4,316.8,QC
16164,1453d2,9,17.8,144.3,38.8,36,0.156,22,3.3,3.36,19.1,0.84,0.21,0.0093,0.0011,3.3,298.5,QC
16165,1454a1,9,19.7,143.7,28.8,34.5,0.239,10.3,1.16,2.48,14.4,0.77,0.2,0.0088,0.001,3.8,268.8,QC
16166,1454c1,9,17.5,148.4,27.8,61.8,0.188,14.7,2.84,5.6,49.6,1.46,0.41,0.0231,0.0009,3.9,357.3,QC
16167,1454d1,9,14,102,27.1,27.6,0.141,9.6,1.16,1.84,12.5,0.75,0.26,0.0081,0.0016,3.8,208.9,QC
16168,1455a2,9,15.5,96.5,25.6,31.2,0.138,9.8,1.08,2.4,12.2,0.68,0.27,0.0057,0.0011,5.1,206.2,QC
16169,1455b2,9,16.3,120.6,60.2,30.7,0.131,26.9,5.2,2.72,36.5,0.72,0.22,0.0128,0.0012,3.7,316.7,QC
16170,1455c1,9,18.1,120.9,28,29.7,0.124,11.9,1.08,2.36,19.6,0.89,0.29,0.0071,0.0012,5.7,245.7,QC
16171,1455c2,9,16.8,106.7,30.8,28.7,0.099,11.9,0.64,2,14.9,1.31,0.32,0.0042,0.0013,4.9,223.3,QC
16172,1455d1,9,16.1,133.8,51,30.9,0.077,29.5,1.76,1.68,13.2,1.08,0.3,0.0074,0.001,4.9,291.7,QC
16173,1456a1,9,17.1,134.5,35.1,40.3,0.128,25.2,2.08,3.52,11.8,1.2,0.28,0.0056,0.0011,4.1,280.9,QC
16174,1456a2,9,15.3,109.3,28.5,28.5,0.172,13.5,0.56,2.4,11.5,0.58,0.19,0.0071,0.0011,3.8,221.4,QC
16175,1456b1,9,16.9,129.3,25.3,45.3,0.165,9.6,0.72,2.4,10.2,0.6,0.21,0.0053,0.0011,4.9,250.9,QC
16176,1456c1,9,15.9,131.2,37.1,42,0.121,17.4,1.6,2,11.3,1.32,0.39,0.0075,0.0011,5.5,273.3,QC
16177,1456c2,9,21.3,133.3,65.2,69.8,0.1,49.5,3.8,2,14.4,1.68,0.4,0.0119,0.0015,4.1,377.5,QC
16178,1456d1,9,14.3,166.6,30.4,29,0.225,13.9,0.56,2.48,10.3,0.48,0.18,0.0086,0.0012,4.2,281.2,QC
16179,1456d2,9,14.6,147,27.9,29.7,0.212,10.8,0.56,1.84,11.1,0.85,0.29,0.0075,0.0011,5,257.4,QC
16180,1457a1,9,14.7,155.5,24.5,27.9,0.266,7.1,0.44,3.04,8.4,0.44,0.28,0.004,0.0012,3.1,249.7,QC
16181,1457b1,9,16.1,122.3,27.2,19.5,0.077,6.6,0.42,2.88,12.5,0.5,0.17,0.006,0.001,3.2,217.4,QC
16182,1457c1,9,19.2,141.8,26.6,68,0.095,7.5,1.32,7.28,17.2,0.72,0.23,0.0081,0.0071,3.2,301.3,QC
16183,1457d1,9,15.8,100.1,35,26.6,0.064,6.3,0.56,3.68,8.7,0.4,0.11,0.0053,0.0014,2.9,205.5,QC
16184,1457d2,9,14.3,80.3,24.5,31.6,0.07,12.7,1.36,4.96,6,0.38,0.14,0.0064,0.0016,3.7,186.4,QC
16185,1458c1,9,8.7,58.5,18.4,23,0.149,7.4,0.66,1.66,7.8,0.42,0.19,0.0094,0.001,2.4,138.7,QC
16186,1458d1,9,13.6,106.7,31.1,31.2,0.119,7.3,1,4,35.3,0.58,0.18,0.0069,0.0011,3.1,241.1,QC
16187,1462a1,9,19.8,167.5,53,41.3,0.185,8.1,0.87,2.25,14.7,0.81,0.41,0.0089,0.0008,4.5,322.3,QC
16188,1462a2,9,20.9,131.3,45,37.3,0.175,9.2,0.56,3.04,16.9,0.85,0.41,0.009,0.001,4.1,278.7,QC
16189,1462b1,9,13.7,96.8,25.6,26.1,0.09,8.7,1.03,2.17,11.2,0.64,0.34,0.006,0.0009,5.1,197.5,QC
16190,1462b2,9,20.4,157.7,53.5,36.9,0.122,37.9,1.96,2.24,14,0.73,0.26,0.0095,0.0009,3.6,338.8,QC
16191,1462c1,9,28.8,246.3,41.4,77.8,0.129,25.4,3.63,3.44,20.7,0.66,1.92,0.0089,0.001,11,470.1,QC
16192,1462c2,9,17.3,174.3,65.4,57.3,0.182,35,2.29,2.96,16.8,0.71,0.49,0.0083,0.0011,5.4,386.4,QC
16193,1462d1,9,15.8,76.5,26,25.3,0.054,11.5,3.75,3.04,10.8,0.68,0.51,0.009,0.001,4.3,187.2,QC
16194,1462d2,9,16.7,139,35.5,34.2,0.169,14.9,3.2,2.5,11.8,0.54,0.4,0.0072,0.001,5,271.1,QC
16195,1463a1,9,15.3,132.9,35.6,37.8,0.153,19.4,1,2,14.4,0.75,0.41,0.0154,0.0009,4.5,279.6,QC
16196,1463b1,9,16.8,143.4,30.5,61.6,0.192,14.4,1.68,2.4,16.2,0.89,0.26,0.0083,0.001,4.7,301.3,QC
16197,1463c1,9,14.3,76.7,21.1,20.4,0.083,7.7,0.88,2.32,7,0.53,0.31,0.0097,0.0011,2.1,163.1,QC
16198,1463d1,9,12.9,78.2,27.1,24.6,0.18,12.5,1.28,3.2,12.6,0.89,0.31,0.0156,0.0012,3,192.4,QC
16199,1463d2,9,16.7,111.5,26.4,35.8,0.133,8.8,2.04,2.16,14.2,0.85,0.24,0.01,0.0011,2.6,231.4,QC
16200,1464a1,9,15.3,117.7,29.5,34.3,0.109,11.2,1.4,1.84,11.2,0.64,0.42,0.0052,0.0013,5,233.8,QC
16201,1464b1,9,15.1,129.9,43.3,47.5,0.117,25.8,1.76,2,10.5,0.61,0.22,0.0062,0.001,3.8,286.8,QC
16202,1464b2,9,14.9,89.5,27.6,26.5,0.098,9.4,1.16,2.4,9.6,1.14,0.28,0.0057,0.001,4,192.3,QC
16203,1464c1,9,16.7,93.5,25.1,24.8,0.091,8.3,0.8,2,39.1,0.93,0.3,0.0076,0.0017,4.2,223.4,QC
16204,1464d1,9,15.2,87.7,24.1,23.1,0.145,8.3,0.56,1.84,5.7,0.47,0.2,0.0069,0.0011,4.9,179.1,QC
16205,1464d2,9,8.8,70,19,26.4,0.105,10.1,0.84,2.48,10.9,0.48,0.21,0.006,0.0014,5.1,160.4,QC
16206,1465a1,9,14.7,94.4,26.4,22.8,0.097,6.4,0.8,2.56,51.6,0.67,0.42,0.008,0.0012,3.2,232,QC
16207,1465b1,9,16.7,147.1,31.9,28.9,0.077,5.7,1.04,2.88,10.9,0.61,0.25,0.0056,0.0014,3.2,254.9,QC
16208,1465c1,9,13.5,87.8,19.7,23.5,0.194,6,1.72,2.4,10.5,0.71,0.23,0.0098,0.0014,3.1,179.2,QC
16209,1465d1,9,11.5,82.5,21.9,28.7,0.106,5.8,2.4,2.8,15.9,0.51,0.16,0.0051,0.0012,3.5,180.9,QC
16210,1465d2,9,13.2,92.5,21.3,28.7,0.106,6.8,0.8,2.8,9.7,0.48,0.13,0.004,0.0014,3.5,184,QC
16211,1466a1,9,14,99.7,23,25.6,0.101,5.1,0.46,3.36,10.7,0.35,0.08,0.0045,0.0015,3.2,190.2,QC
16212,1466b1,9,14.7,93,24.4,16.4,0.069,6.6,1.56,2.88,6.6,0.29,0.07,0.0043,0.0011,3.1,174,QC
16213,1466b2,9,11.8,78.1,20.4,19.9,0.062,3.8,0.48,2.8,5.6,0.44,0.12,0.0058,0.001,2.8,152.1,QC
16214,1466c1,9,15,93.7,23.8,71.1,0.133,7.5,1.44,2.88,18.6,0.74,0.23,0.0072,0.0015,3,245.3,QC
16215,1466d1,9,36.3,89.3,47.3,119.5,0.104,30.8,32.3,4,66.7,3,1.44,0.0124,0.0019,3.3,446.4,QC
16216,1466d2,9,14,72.1,25.5,21.2,0.083,7,0.76,3.28,3.4,0.27,0.1,0.0041,0.0011,3.5,155.3,QC
16217,1467a1,9,14.3,73,25.2,19.4,0.069,7.5,0.4,2.75,5.8,0.35,0.19,0.0053,0.001,2.8,157.1,QC
16218,1472a1,9,17.5,144.1,24.5,27.4,0.147,10.4,1.65,3.35,9.7,0.48,1.23,0.0061,0.0009,10.8,257.4,QC
16219,1472b1,9,13.5,132.9,24.4,35.8,0.153,11.9,2.05,2.61,13.3,0.59,0.34,0.0053,0.001,6,248.8,QC
16220,1472c1,9,17.9,145.4,21.7,42.6,0.127,9.8,1.26,4.8,6.7,0.53,0.88,0.0053,0.0009,9.9,266.9,QC
16221,1472d1,9,13.7,69.8,16.5,20,0.116,7.1,1.26,2.89,6.3,0.37,1.77,0.0066,0.0011,6.5,152.9,QC
16222,1472d2,9,14,69.5,21.3,19,0.089,10.2,1.85,3.77,7.8,0.43,0.87,0.0066,0.0012,6.6,162,QC
